-- [enter tx scope] --
 20  SELECT  resource_group                   in_tx=true  params=3   SELECT "resource_group"."id", "resource_group"."parent_id", "resource_group"."gts_type_id", "resource_group"."name", "resource_group"."metadata", "resource_group"."tenant_id", "resource_group"."created_at", "resource_group"."updated_at" FROM "resource_group" WHERE "resource_group"."id" = ? AND "resource_group"."tenant_id" IN (?) LIMIT ?
 21  SELECT  gts_type                         in_tx=true  params=2   SELECT "gts_type"."id", "gts_type"."schema_id", "gts_type"."metadata_schema", "gts_type"."created_at", "gts_type"."updated_at" FROM "gts_type" WHERE "gts_type"."id" = ? LIMIT ?
 22  SELECT  resource_group                   in_tx=true  params=2   SELECT "resource_group"."id", "resource_group"."parent_id", "resource_group"."gts_type_id", "resource_group"."name", "resource_group"."metadata", "resource_group"."tenant_id", "resource_group"."created_at", "resource_group"."updated_at" FROM "resource_group" WHERE "resource_group"."id" = ? LIMIT ?
 23  SELECT  gts_type                         in_tx=true  params=2   SELECT "gts_type"."id", "gts_type"."schema_id", "gts_type"."metadata_schema", "gts_type"."created_at", "gts_type"."updated_at" FROM "gts_type" WHERE "gts_type"."id" = ? LIMIT ?
 24  SELECT  gts_type                         in_tx=true  params=2   SELECT "gts_type"."id", "gts_type"."schema_id", "gts_type"."metadata_schema", "gts_type"."created_at", "gts_type"."updated_at" FROM "gts_type" WHERE "gts_type"."schema_id" = ? LIMIT ?
 25  SELECT  gts_type_allowed_parent          in_tx=true  params=1   SELECT "gts_type_allowed_parent"."type_id", "gts_type_allowed_parent"."parent_type_id" FROM "gts_type_allowed_parent" WHERE "gts_type_allowed_parent"."type_id" = ?
 26  SELECT  gts_type_allowed_membership      in_tx=true  params=1   SELECT "gts_type_allowed_membership"."type_id", "gts_type_allowed_membership"."membership_type_id" FROM "gts_type_allowed_membership" WHERE "gts_type_allowed_membership"."type_id" = ?
 27  UPDATE  resource_group                   in_tx=true  params=6   UPDATE "resource_group" SET "parent_id" = ?, "gts_type_id" = ?, "name" = ?, "metadata" = ?, "updated_at" = ? WHERE "resource_group"."id" = ?
 28  SELECT  resource_group                   in_tx=true  params=2   SELECT "resource_group"."id", "resource_group"."parent_id", "resource_group"."gts_type_id", "resource_group"."name", "resource_group"."metadata", "resource_group"."tenant_id", "resource_group"."created_at", "resource_group"."updated_at" FROM "resource_group" WHERE "resource_group"."id" = ? LIMIT ?
 29  SELECT  resource_group                   in_tx=true  params=2   SELECT "resource_group"."id", "resource_group"."parent_id", "resource_group"."gts_type_id", "resource_group"."name", "resource_group"."metadata", "resource_group"."tenant_id", "resource_group"."created_at", "resource_group"."updated_at" FROM "resource_group" WHERE "resource_group"."id" = ? LIMIT ?
 30  SELECT  gts_type                         in_tx=true  params=2   SELECT "gts_type"."id", "gts_type"."schema_id", "gts_type"."metadata_schema", "gts_type"."created_at", "gts_type"."updated_at" FROM "gts_type" WHERE "gts_type"."id" = ? LIMIT ?
